id,title,tagline,release_date,genres,original_language,budget,revenue,production_companies,production_countries,vote_count,vote_average,popularity,runtime,overview,spoken_languages,poster_path,backdrop_path,belongs_to_collection,origin_country,profit,roi,cast,director,cast_size,is_franchise
299534,Avengers: Endgame,Avenge the fallen.,2019-04-24,Adventure|Science Fiction|Action,en,3.5599999999999996e-10,2.7994391e-09,Marvel Studios,United States of America,26827,8.238,12.9626,181.0,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",English|日本語|,/ulzhLuWrPK07P1YkdWQLZnQh1JL.jpg,/7RyHsO4yDXtBv1zUU3mTpHeQ0d5.jpg,The Avengers Collection,['US'],2443.4391,7.86359297752809,Robert Downey Jr.|Chris Evans|Mark Ruffalo|Chris Hemsworth|Scarlett Johansson,Joe Russo,105,True
19995,Avatar,Enter the world of Pandora.,2009-12-15,Action|Adventure|Fantasy|Science Fiction,en,2.37e-10,2.9237060259999997e-09,Dune Entertainment|Lightstorm Entertainment|20th Century Fox|Ingenious Media,United States of America|United Kingdom,32696,7.594,20.4887,162.0,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",English|Español,/gKY6q7SjCkAU6FqvqWybDYgUKIF.jpg,/vL5LR6WdxWPjLPFRLe133jXWsh5.jpg,Avatar Collection,['US'],2686.706026,12.33631234599156,Sam Worthington|Zoe Saldaña|Sigourney Weaver|Stephen Lang|Michelle Rodriguez,James Cameron,65,True
140607,Star Wars: The Force Awakens,Every generation has a story.,2015-12-15,Adventure|Action|Science Fiction,en,2.45e-10,2.0682236240000003e-09,Lucasfilm Ltd.|Bad Robot,United States of America,20013,7.255,12.3492,136.0,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",English,/wqnLdwVXoBjKibFRR5U3y0aDUhs.jpg,/8BTsTfln4jlQrLXUBquXJ0ASQy9.jpg,Star Wars Collection,['US'],1823.2236240000002,8.441729077551022,Harrison Ford|Mark Hamill|Carrie Fisher|Adam Driver|Daisy Ridley,J.J. Abrams,183,True
299536,Avengers: Infinity War,Destiny arrives all the same.,2018-04-25,Adventure|Action|Science Fiction,en,3e-10,2.052415039e-09,Marvel Studios,United States of America,31039,8.236,22.2299,149.0,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",English|,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,/mDfJG3LC3Dqb67AZ52x3Z0jU0uB.jpg,The Avengers Collection,['US'],1752.415039,6.841383463333333,Robert Downey Jr.|Chris Evans|Chris Hemsworth|Josh Brolin|Mark Ruffalo,Joe Russo,69,True
597,Titanic,Nothing on earth could come between them.,1997-11-18,Drama|Romance,en,2e-10,2.264162353e-09,Paramount Pictures|20th Century Fox|Lightstorm Entertainment,United States of America,26389,7.905,22.1539,194.0,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",English|Français|Deutsch|svenska|Italiano|Pусский,/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,/tupgjqhWx5oieQrdyesO3aclUX9.jpg,,['US'],2064.162353,11.320811765,Leonardo DiCaprio|Kate Winslet|Billy Zane|Kathy Bates|Frances Fisher,James Cameron,117,False
135397,Jurassic World,The park is open.,2015-06-06,Action|Adventure|Science Fiction|Thriller,en,1.5e-10,1.671537444e-09,Amblin Entertainment|Universal Pictures|Legendary Pictures,United States of America,21051,6.699,11.226,124.0,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",English,/rhr4y79GpxQF9IsfJItRXVaoGs4.jpg,/dF6FjTZzRTENfB4R17HDN20jLT2.jpg,Jurassic Park Collection,['US'],1521.537444,11.14358296,Chris Pratt|Bryce Dallas Howard|Irrfan Khan|Vincent D'Onofrio|Ty Simpkins,Colin Trevorrow,53,True
420818,The Lion King,The king has returned.,2019-07-12,Adventure|Drama|Family|Animation,en,2.6e-10,1.6620208190000002e-09,Walt Disney Pictures|Fairview Entertainment,United States of America,10513,7.105,8.6482,118.0,"Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother—and former heir to the throne—has plans of his own. The battle for Pride Rock is ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. With help from a curious pair of newfound friends, Simba will have to figure out how to grow up and take back what is rightfully his.",English,/dzBtMocZuJbjLOXvrl4zGYigDzh.jpg,/4G7SzRAaXYZ5hYfS05wbTzjv2Tn.jpg,The Lion King (Reboot) Collection,['US'],1402.020819,6.3923877653846155,Chiwetel Ejiofor|John Oliver|Donald Glover|James Earl Jones|John Kani,Jon Favreau,20,True
24428,The Avengers,Some assembly required.,2012-04-25,Science Fiction|Action|Adventure,en,2.2000000000000002e-10,1.5188155150000001e-09,Marvel Studios,United States of America,33489,7.827,47.3598,143.0,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",English|हिन्दी|Pусский,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,/9BBTo63ANSmhC4e6r62OJFuK2GL.jpg,The Avengers Collection,['US'],1298.815515,6.903706886363636,Robert Downey Jr.|Chris Evans|Mark Ruffalo|Chris Hemsworth|Scarlett Johansson,Joss Whedon,112,True
168259,Furious 7,Vengeance hits home.,2015-04-01,Action|Crime|Thriller,en,1.9000000000000002e-10,1.5154000000000002e-09,Original Film|One Race|Universal Pictures,United States of America,10984,7.2,12.4122,139.0,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,العربية|English|Español|ภาษาไทย,/wurKlC3VKUgcfsn0K51MJYEleS2.jpg,/cHkhb5A4gQRK6zs6Pv7zorHs8Nk.jpg,The Fast and the Furious Collection,['US'],1325.4,7.975789473684211,Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Jordana Brewster,James Wan,49,True
99861,Avengers: Age of Ultron,A new age has come.,2015-04-22,Action|Adventure|Science Fiction,en,3.65e-10,1.405403694e-09,Marvel Studios,United States of America,23780,7.271,13.542,141.0,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",English,/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,/kIBK5SKwgqIIuRKhhWrJn3XkbPq.jpg,The Avengers Collection,['US'],1040.403694,3.850421079452055,Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo|Chris Evans|Scarlett Johansson,Joss Whedon,71,True
